status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,CD276,CD276molecule,,15,"Rare Single Gene Mutation",2,0,,4
9,CD38,"CD38 molecule",,4,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,,10
9,CDC42BPB,"CDC42 binding protein kinase beta (DMPK-like)",,14,"Rare Single Gene Mutation, Syndromic",2,0,,13
9,CDH10,"cadherin 10, type 2 (T2-cadherin)",,5,"Rare Single Gene Mutation, Genetic Association",2,0,,11
9,CDH11,"cadherin 11",,16,"Rare Single Gene Mutation, Syndromic, Functional",2,0,,9
9,CDH13,"cadherin 13",,16,"Rare Single Gene Mutation",2,0,,7
9,CDH2,"cadherin 2",,18,"Rare Single Gene Mutation, Syndromic",3,1,,8
9,CDH22,"cadherin-like 22",,20,"Rare Single Gene Mutation, Genetic Association",2,0,,7
9,CDH8,"cadherin 8, type 2",,16,"Rare Single Gene Mutation",2,0,,13
9,CDH9,"cadherin 9, type 2 (T1-cadherin)",,5,"Rare Single Gene Mutation, Genetic Association",2,0,,7
9,CDK13,"cyclin dependent kinase 13",,7,"Rare Single Gene Mutation, Syndromic",,1,,26
9,CDK16,"cyclin dependent kinase 16",,X,"Rare Single Gene Mutation",2,0,,3
9,CDK19,"cyclin dependent kinase 19",,6,"Rare Single Gene Mutation, Syndromic",3,1,,7
9,CDK5RAP2,"CDK5 regulatory subunit associated protein 2",,9,"Rare Single Gene Mutation, Syndromic",3,0,,14
9,CDK8,"cyclin dependent kinase 8",,13,"Rare Single Gene Mutation, Syndromic",,1,,5
9,CDKL5,"cyclin-dependent kinase-like 5",,X,"Rare Single Gene Mutation, Syndromic, Functional",1,1,,67
9,CDON,"cell adhesion associated, oncogene regulated",,11,"Rare Single Gene Mutation",3,0,,5
9,CECR2,"CECR2, histone acetyl-lysine reader",,22,"Rare Single Gene Mutation",2,0,,3
9,CELF2,"CUGBP Elav-like family member 2",,10,"Rare Single Gene Mutation, Syndromic, Functional",2,1,,5
9,CELF4,"CUGBP, Elav-like family member 4",,18,"Rare Single Gene Mutation, Functional",1,0,8.5,16
9,CELF6,"CUGBP, Elav-like family member 6",,15,"Rare Single Gene Mutation, Genetic Association",2,0,,5
9,CEP135,"centrosomal protein 135",,4,"Rare Single Gene Mutation, Syndromic",2,0,,9
9,CEP290,"Centrosomal protein 290kDa",,12,"Rare Single Gene Mutation, Syndromic",2,1,,16
9,CEP41,"testis specific, 14",,7,"Rare Single Gene Mutation, Syndromic",2,0,,8
9,CERT1,"ceramide transporter 1",,5,"Rare Single Gene Mutation, Syndromic",3,1,,8
9,CGNL1,"Cingulin-like 1",,15,"Rare Single Gene Mutation",2,0,,8
9,CHAMP1,"chromosome alignment maintaining phosphoprotein 1",,13,"Rare Single Gene Mutation, Syndromic, Functional",1,1,,20
9,CHD1,"chromodomain helicase DNA binding protein 1",,5,"Rare Single Gene Mutation, Syndromic",2,1,,15
9,CHD2,"Chromodomain helicase DNA binding protein 2",,15,"Rare Single Gene Mutation, Syndromic, Functional",1,1,25,93
9,CHD3,"chromodomain helicase DNA binding protein 3",,17,"Rare Single Gene Mutation, Syndromic",1,1,,27
9,CD99L2,"CD99 molecule like 2",,X,"Genetic Association",2,0,,1
9,CHD4,"chromodomain helicase DNA binding protein 4",,12,"Rare Single Gene Mutation, Syndromic, Functional",3,1,,8
9,CHD7,"chromodomain helicase DNA binding protein 7",,8,"Rare Single Gene Mutation, Syndromic, Functional",1,1,8.1,55
9,CHD8,"chromodomain helicase DNA binding protein 8",,14,"Rare Single Gene Mutation, Syndromic, Functional",1,1,97.65,137
9,CHD9,"chromodomain helicase DNA binding protein 9",,16,"Rare Single Gene Mutation",3,0,,8
9,CHKB,"Choline kinase beta",,22,"Rare Single Gene Mutation, Syndromic",,1,,11
9,CHM,"CHMRab escort protein",,X,"Rare Single Gene Mutation",3,0,,8
9,CHMP1A,"charged multivesicular body protein 1A",,16,"Rare Single Gene Mutation, Syndromic",2,0,,5
9,CHRM3,"cholinergic receptor muscarinic 3",,1,"Rare Single Gene Mutation, Genetic Association",2,0,,7
9,CHRNA7,"cholinergic receptor, nicotinic, alpha 7",,15,"Rare Single Gene Mutation",2,0,,17
9,CHRNB3,"cholinergic receptor nicotinic beta 3 subunit",,8,"Rare Single Gene Mutation",2,0,,4
9,CHST2,"carbohydrate sulfotransferase 2",,3,"Rare Single Gene Mutation",3,0,,3
9,CIB2,"Calcium and integrin binding family member 2",,15,"Rare Single Gene Mutation",2,0,,2
9,CIC,"capicua transcriptional repressor",,19,"Rare Single Gene Mutation, Syndromic, Functional",1,0,18.7,20
9,CLASP1,"cytoplasmic linker associated protein 1",,2,"Rare Single Gene Mutation",2,0,,5
9,CLCN4,"chloride voltage-gated channel 4",,X,"Rare Single Gene Mutation, Syndromic, Functional",2,1,,18
9,CLIP2,"CAP-Gly domain containing linker protein 2",,7,"Rare Single Gene Mutation, Genetic Association",3,0,,2
9,CLN8,"Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)",,8,"Rare Single Gene Mutation, Syndromic",2,0,,7
9,CLTC,"clathrin heavy chain",,17,"Rare Single Gene Mutation",3,0,,6
9,CLTCL1,"clathrin, heavy chain-like 1",,22,"Rare Single Gene Mutation",2,0,,9
9,CMIP,"c-Maf inducing protein",,16,"Rare Single Gene Mutation, Genetic Association",2,0,,7
9,CMPK2,"cytidine/uridine monophosphate kinase 2",,2,"Rare Single Gene Mutation",2,0,,4
9,CNGB3,"cyclic nucleotide gated channel beta 3",,8,"Rare Single Gene Mutation",2,0,,8
9,CNKSR2,"connector enhancer of kinase suppressor of Ras 2",,X,"Rare Single Gene Mutation, Syndromic, Functional",2,1,,18
9,CNOT1,"CCR4-NOT transcription complex subunit 1",,16,"Rare Single Gene Mutation, Syndromic",2,1,,13
9,CNOT3,"CCR4-NOT transcription complex subunit 3",,19,"Rare Single Gene Mutation, Syndromic",1,1,5.6,26
9,CNR1,"cannabinoid receptor 1 (brain)",,6,"Rare Single Gene Mutation, Genetic Association",2,0,,9
9,CNTN3,"contactin 3",,3,"Rare Single Gene Mutation",2,0,,6
9,CNTN4,"contactin 4",,3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,,31
9,CNTN5,"Contactin 5",,11,"Rare Single Gene Mutation, Genetic Association",2,0,,11
9,CNTN6,"Contactin 6",,3,"Rare Single Gene Mutation, Genetic Association",2,0,13.8,18
9,CNTNAP2,"contactin associated protein-like 2",,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,1,,107
9,CNTNAP3,"contactin associated protein-like 3",,9,"Rare Single Gene Mutation, Functional",2,0,,8
9,CNTNAP4,"Contactin associated protein-like 4",,16,"Rare Single Gene Mutation, Functional",2,0,,16
9,CNTNAP5,"contactin associated protein-like 5",,2,"Rare Single Gene Mutation, Genetic Association",2,0,,16
9,COL12A1,"collagen type XII alpha 1 chain",,6,"Rare Single Gene Mutation",3,0,,9
9,COL28A1,"collagen type XXVIII alpha 1 chain",,7,"Rare Single Gene Mutation",2,0,,5
9,CORO1A,"coronin 1A",,16,"Rare Single Gene Mutation",1,0,0.7,3
9,CPEB4,"cytoplasmic polyadenylation element binding protein 4",,5,"Rare Single Gene Mutation, Functional",2,0,,4
9,CPSF7,"cleavage and polyadenylation specific factor 7",,11,"Rare Single Gene Mutation",1,0,,8
9,CPT2,"carnitine palmitoyltransferase 2",,1,"Rare Single Gene Mutation",2,0,,5
9,CPZ,"carboxypeptidase Z",,4,"Rare Single Gene Mutation",2,0,,5
9,CREBBP,"CREB binding protein",,16,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,31.35,47
9,CRMP1,"collapsin response mediator protein 1",,4,"Rare Single Gene Mutation, Functional",3,0,,9
9,CSDE1,"cold shock domain containing E1",,1,"Rare Single Gene Mutation, Syndromic, Functional",1,1,15.55,9
9,CSMD1,"CUB and Sushi multiple domains 1",,8,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,,25
9,CSMD2,"CUB and Sushi multiple domains 2",,1,"Rare Single Gene Mutation, Genetic Association",3,0,,9
9,CSMD3,"CUB and Sushi multiple domains 3",,8,"Rare Single Gene Mutation, Functional",3,0,,11
9,CSNK1E,"casein kinase 1 epsilon",,22,"Rare Single Gene Mutation, Functional",2,0,,9
9,CSNK1G1,"casein kinase 1 gamma 1",,15,"Rare Single Gene Mutation, Syndromic",3,1,,3
9,CSNK2A1,"casein kinase 2 alpha 1",,20,"Rare Single Gene Mutation, Syndromic, Functional",1,1,6.2,22
9,CSNK2B,"casein kinase 2 beta",,6,"Rare Single Gene Mutation, Syndromic",,1,,13
9,CTCF,"CCCTC-binding factor",,16,"Rare Single Gene Mutation, Syndromic, Functional",1,1,10.45,29
9,CTNNA2,"catenin alpha 2",,2,"Rare Single Gene Mutation, Syndromic",,1,,6
9,CTNNA3,"catenin (cadherin-associated protein), alpha 3",,10,"Rare Single Gene Mutation, Genetic Association",2,0,,21
9,CTNNB1,"catenin beta 1",,3,"Rare Single Gene Mutation, Syndromic",1,0,32.75,48
